created_at,model,input_tokens,output_tokens,cached_tokens,total_tokens,ttft,total_duration_s,tps,request_energy_j,request_energy_kwh,attribution_method,gpu_type,gpu_count,server_host,server_status,request_id
2026-05-09 19:07:37.787572,zai-org/GLM-5.1-FP8,66353,31,65792,66384,1.357619047164917,1.5739588737487793,19.70,491.987171,0.000136663,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,ec4ee4c3-0357-4d41-9b19-a26e437ee3cc
2026-05-09 18:33:54.952534,zai-org/GLM-5.1-FP8,9314,807,64,10121,2.8744757175445557,22.798712730407715,35.40,4236.330000,0.001176758,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,1e12db02-e49d-42f9-8438-8a35d137c0d1
2026-05-09 17:19:25.561161,zai-org/GLM-5.1-FP8,109617,52,49536,109669,7.540827035903931,8.635145425796509,6.02,2661.610000,0.000739336,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,370105a1-4c82-46c9-8dca-965d0bf6299e
2026-05-09 16:35:15.850152,zai-org/GLM-5.1-FP8,10152,1978,0,12130,0.765286922454834,52.38717842102051,37.76,8915.422322,0.002476506,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,866dd73c-6d14-42a4-ba39-c2b2b6740274
2026-05-09 16:34:07.442567,zai-org/GLM-5.1-FP8,8893,305,7680,9198,1.1054599285125732,13.219708919525146,23.07,1151.156856,0.000319766,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,f6ea1215-0876-4bf7-b2f9-6ebb22bc8505
2026-05-09 15:02:33.029178,zai-org/GLM-5.1-FP8,6597,378,6528,6975,0.3788025379180908,39.97687363624573,9.46,4090.272113,0.001136187,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,7ec50500-387d-4846-9234-ea604469d65e
2026-05-09 14:10:33.747732,zai-org/GLM-5.1-FP8,5151,433,4736,5584,0.48663854598999023,11.979727983474731,36.14,1185.453779,0.000329293,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,823c58ef-7229-4f65-a502-d6bba92e1c9b
2026-05-09 12:54:36.354932,zai-org/GLM-5.1-FP8,16599,2714,9472,19313,0.6953115463256836,64.01644611358643,42.40,17309.950000,0.004808319,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,637d867d-bcae-4a6b-b278-5f4c78830e5b
2026-05-09 09:52:11.176964,zai-org/GLM-5.1-FP8,9835,1342,9216,11177,0.38179779052734375,31.07936668395996,43.18,5806.850952,0.001613014,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,35433926-9586-4023-8f04-451a525a3b05
2026-05-09 07:57:05.762457,zai-org/GLM-5.1-FP8,100724,63,99456,100787,0.712615966796875,2.0809099674224854,30.28,353.220000,0.000098117,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,531287f5-9820-40b1-8413-c2ea3351f8a9
